{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-F88F7,-F885F,-F87DE
-E0E60,-E0DE6,-E0D3E
-F8738,-F88FD,-F88C5
-E1133,-E10DF,-E1061
-F8AA1,-F8A15,-F8A49
-E0E6A,-E1094,-E0E2F
-F89E2,-F893F,-F88DB
-E1085,-E106A,-E0F89
-F8BE1,-F8B15,-F882F
-E0E36,-E10DA,-E0F29
-F8886,-F88D3,-F89B0
-E0CB6,-E0D2B,-E0CBF
-F877A,-F88B0,-F89CF
-E0DA1,-E0E2B,-E0E9A
-F877C,-F8761,-F86D1
-E0EBA,-E0C57,-E0CB2
-F8826,-F8927,-F8653
-E0E2C,-E0C51,-E0B6D
-F853A,-F8743,-F8793
-E0C6D,-E0B11,-E0BED
-F867E,-F8622,-F8574
-E0AAA,-E0B85,-E0B0D
-F85C9,-F8589,-F8583
-E0975,-E0A88,-E0C7F
-F843C,-F8542,-F84F6
-E0B86,-E0C31,-E0BA6
-F86C9,-F8627,-F86CA
-E0CC5,-E0C44,-E0BBB
-F85A5,-F8714,-F873F
-E0AF8,-E0D0D,-E0B99
-F8495,-F84BB,-F849E
-E0B62,-E0B0A,-E0B8C
-F8602,-F85B5,-F8573
-E0BC8,-E09A2,-E0A64
-F8567,-F85EF,-F84D0
-E09AF,-E0B3B,-E087A
-F83B9,-F8531,-F843F
-E0A5B,-E09AF,-E0A43
-F839D,-F85EC,-F85D7
-E0A7C,-E0AB5,-E0A38
-F8519,-F86C0,-F82D4
-E0B8C,-E0C2C,-E0A1B
-F863F,-F8454,-F84CC
-E0A7C,-E0A29,-E0BF5
-F85A6,-F8351,-F851D
-E0C12,-E0D82,-E0C6C
-F8766,-F8897,-F89EE
-E0DB7,-E0D52,-E0CBA
-F8891,-F875C,-F8763
-E0D60,-E0B8B,-E0CAA
-F8840,-F86CC,-F885F
-E0E49,-E0C6D,-E0BE1
-F89C9,-F87BB,-F87EE
-E0D21,-E0EA8,-E0CE6
-F873E,-F8926,-F8918
-E0DFE,-E0C93,-E0A1C
-F8685,-F8615,-F880C
-E0D25,-E0C9E,-E0D14
-F8860,-F884D,-F86DE
-E0DD9,-E0E1E,-E0EE9
-F88B2,-F892F,-F8574
-E0C38,-E0DCE,-E0CAF
-F862D,-F8746,-F8832
-E0C67,-E0D0F,-E0D4C
-F8877,-F868D,-F8803
-E0C41,-E0C09,-E0CC8
-F86D8,-F8772,-F8880
-E0C54,-E0CCA,-E0D33
-F8478,-F864C,-F86E1
-E0D34,-E0C14,-E0C8A
-F8620,-F86A1,-F879D
-E0AE1,-E0D5A,-E0D0C
-F8906,-F870D,-F8772
-E0BBF,-E0C41,-E0D01
-F86C8,-F84C3,-F86E2
-E0D1F,-E0D13,-E0AB8
-F8737,-F8773,-F85FC
-E0C41,-E0B69,-E0B70
-F8402,-F85E2,-F8677
-E0AE8,-E0BEA,-E0B11
-F85B4,-F8689,-F8593
-E0ACA,-E0B8F,-E07E6
-F8549,-F84F1,-F855D
-E0868,-E0908,-E0A09
-F8505,-F8515,-F8306
-E09B2,-E09F6,-E099E
-F842D,-F838C,-F8499
-E0992,-E0902,-E09D6
-F82CD,-F8268,-F8481
-E0877,-E08FB,-E0B25
-F8497,-F83D2,-F83C5
-E08D3,-E0765,-E0A12
-F81B9,-F83CD,-F82D4
-E0978,-E09B8,-E08C9
-F8345,-F83FD,-F83BE
-E086C,-E09CF,-E0A09
-F84C1,-F83E6,-F82A6
-E09AF,-E08E3,-E08F6
-F82E7,-F844E,-F8301
-E0717,-E0945,-E09A5
-F8354,-F8375,-F83BC
-E0896,-E089D,-E06DA
-F80C7,-F819F,-F82D2
-E0901,-E0815,-E0915
-F8394,-F8214,-F828B
-E0929,-E08CD,-E094F
-F8255,-F83AE,-F821F
-E0990,-E093E,-E076C
-F80CB,-F8195,-F83BB
-E1714,-E160C,-E1707
-F82B2,-F8186,-F8314
-E063D,-E07A5,-E07D0
-F8367,-F8004,-F81BD
-E08D0,-E07EE,-E074D
-F81FE,-F8124,-F8258
-E0786,-E0701,-E076C
-F81E0,-F8128,-F8172
-E06C1,-E0880,-E06D6
-F819F,-F8181,-F81C3
-E07DA,-E06D8,-E06F2
-F81BC,-F8102,-F82FD
-E07C1,-E06D9,-E0670
-F815B,-F826B,-F818B
-E0561,-E076A,-E05D3
-F802D,-F8181,-F804C
-E06EC,-E040A,-E0564
-F8055,-F80A3,-F7E8F
-E0665,-E0638,-E04C6
-F809E,-F818F,-F825B
-E0646,-E070C,-E0563
-F80DC,-F827D,-F7F84
-E07FE,-E07DD,-E05A2
-F80B9,-F815C,-F8326
-E071F,-E07F2,-E0613
-F815A,-F7FEF,-F8238
-E0571,-E05B3,-E04FD
-F7EAE,-F80E5,-F7F23
-E0590,-E048E,-E051F
-F7FF9,-F7F8E,-F804B
-E070E,-E070A,-E0483
-F7F62,-F7F2E,-F80E7
-E044A,-E057A,-E048C
-F7DD3,-F7F4F,-F7F2E
-E0522,-E05CC,-E05AF
-F7DF0,-F7EF8,-F7EB7
-E03A8,-E0211,-E0372
-F7DB1,-F7EAE,-F7DDC
-E03E4,-E0300,-E0499
-F7FC5,-F7E1D,-F7EB2
-E032C,-E0492,-E018D
-F7E9A,-F7D36,-F7D9A
-E02F8,-E0504,-E03EE
-F7E1D,-F7DAF,-F7C20
-E0294,-E01C8,-E02FB
-F7BC1,-F7EA6,-F7D72
-E041D,-E033F,-E0736
-F7E7A,-F7CC1,-F7D60
-E012D,-E0279,-E01D5
-F7BB9,-F7C1C,-F7BCC
-E0316,-E0187,-E0347
-F7CB8,-F7C74,-F7BCA
-E0249,-E02A2,-E01A5
-F7CBC,-F79E2,-F7DB6
-E0195,-E013D,-E014B
-F7B9E,-F7EE3,-F7C32
-E02CC,-E0186,-E0195
-F7C86,-F7BF4,-F7C9C
-E02ED,-E00E5,-E0084
-F7BA3,-F7BED,-F7BD7
-E022A,-E0179,-E0026
-F7C25,-F7B88,-F7BE4
-E01D3,-E023C,-E003A
-F7C65,-F7C4B,-F7C50
-E0128,-E0053,-E013F
-F7EEC,-F7F97,-F7FC9
-E0461,-E0498,-E046F
-F7E60,-F7E20,-F7F3C
-E064F,-E035E,-E055F
-F7F5A,-F7F9A,-F8294
-E05F5,-E05B3,-E04B4
-F8069,-F7DC5,-F7DF1
-E04A0,-E02C3,-E04E9
-F8068,-F7F08,-F7D7B
-E06AD,-E038B,-E04E7
-F7BBB,-F7E8B,-F7E6A
-E04DE,-E045E,-E03B5
-F7CDE,-F7E2A,-F7DFB
-E02FC,-E0482,-E0457
-F7F50,-F7E8C,-F7DA4
-E03F7,-E0332,-E00F9
-F7D7A,-F7EC1,-F7EAA
-E044A,-E03FB,-E030B
-F7B78,-F7E1F,-F7DDB
-E02CA,-E02C0,-E0031
-F7DEF,-F7D81,-F7E53
-E0373,-E031F,-E025D
-F7E5E,-F7CC2,-F7DC9
-E0406,-E01EE,-E01F4
-F7D33,-F7D59,-F7D62
-E037D,-E02A3,-E0357
-F7F0D,-F7CC3,-F7D3A
-E01A4,-E01F1,-E01F7
-F7CB9,-F7E0A,-F7DE4
-E02CB,-E0284,-E0201
-F7E22,-F7DE8,-F7C9E
-E0328,-E0278,-E02E2
-F7A95,-F7B90,-F7AE2
-E0203,-E016F,-E02B2
-F7B8C,-F7E62,-F7C32
-E016E,-E0125,-E026C
-F7A60,-F7AEB,-F7C69
-E021E,-E0299,-E00E1
-F7AEF,-F7CE5,-F7D4C
-E0097,-E0203,-E01A5
