{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
10F7EE,10F89D,10F7F1
126683,126634,126759
10FD73,10FE28,10FDEF
12771C,127665,1278D9
10FD61,10FCB1,10FB95
127619,127722,1276A1
10FBF3,10FEC5,10FE61
1277E5,1278E7,127871
10FC5E,10FEE6,10FDD9
1276D2,12795A,1278D9
10FF06,10FF88,10FF59
127858,12786A,127954
10FFBD,10FE8D,10FD59
127717,127ACE,127805
10FCFE,10FD82,10FE71
127701,127786,12782E
10FD7E,10FDCE,10FDF9
12794C,1279A9,1279D0
10FE6C,10FD75,10FE1A
127620,127856,127A78
10FDF2,10FE90,10FFCE
1278A0,127894,1278F0
10FE58,10FECF,10FD19
12776A,127821,127884
10FE72,10FCD3,10FC8A
127954,127882,12797B
