{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
A3387,A3405,A3616
8BA48,8BA7E,8B9CB
A3407,A3498,A3460
8BA58,8B8F0,8B9D8
A347A,A34C4,A3340
8B846,8B8C1,8BAB6
A31BF,A33DC,A3485
8BB2B,8B964,8B92C
A35E6,A3530,A376F
8B9A8,8B979,8B990
A340B,A3415,A3266
8B98E,8B8CC,8B78E
A32AF,A31AC,A33D5
8B92A,8B881,8B9B6
A338C,A34FD,A33F2
8B9B3,8BAFB,8B95A
A34E5,A3341,A3426
8BAA6,8BAE5,8B86E
A33B4,A32BC,A32B6
8BA6F,8B9C6,8BB13
A363F,A34EA,A3571
8B948,8BA81,8BC97
A3533,A33C6,A353B
8B968,8BA3F,8B998
A290C,A2994,A2837
8BE99,8BD44,8BE31
A393A,A3BD3,A3A8A
8BF3F,8BECE,8BF91
A3B6E,A3B54,A3A36
