{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2ED88,-2EB1A,-2EBA5
-466BC,-466E5,-465BD
-2EA9C,-2ED39,-2EB1D
-4670D,-46673,-464F2
-2EBEE,-2ECE4,-2ECA1
-466B7,-467CC,-467C8
-2EB9A,-2E9C8,-2EA41
-46685,-465BE,-46527
-2EDD6,-2EC55,-2EDBB
-464F6,-46568,-46626
-2ED54,-2EE41,-2EDC0
-46824,-46673,-4662B
-2EC62,-2EBAC,-2EBC9
-466A1,-467A6,-46592
-2EC84,-2EC98,-2EA8E
-465B1,-46756,-46660
-2EB54,-2EBCA,-2EAC5
-46572,-463EE,-467F1
-2EC7B,-2EC58,-2ED38
-465FE,-46676,-46728
-2EA8A,-2EBE4,-2ECF3
-46781,-46453,-46591
-2EE35,-2EC54,-2EAF2
-4650E,-466C3,-466E7
-2EA74,-2EA4A,-2EB28
-4662C,-46640,-46821
-2EBF6,-2EE00,-2ECAD
-465A0,-4671F,-465BC
-2EAF4,-2EA9C,-2EB6F
-466C7,-465D2,-467CF
-2EDE5,-2ED18,-2EBBB
-467CB,-4668E,-465E8
-2EB8A,-2EA92,-2EBA0
-465E1,-46598,-46640
-2ECC7,-2EC29,-2EC6F
-46677,-4660D,-46812
-2EC08,-2EAD9,-2ED32
-46680,-46540,-46766
-2EBB4,-2EB43,-2ECAF
-46629,-466BD,-46598
-2ED62,-2EB5C,-2EC24
-465E0,-46518,-466C1
-2EBA7,-2EAF8,-2EA67
-464A5,-465CA,-46774
-2EAC5,-2EA2E,-2EAF5
-46365,-4653F,-46594
-2EBB3,-2EA3B,-2EB8A
-4662C,-465BC,-46578
-2E808,-2E99A,-2EB98
-4638F,-4665C,-4665A
-2EA11,-2E9FE,-2E9BB
-46481,-463E6,-464E0
-2EAD8,-2EA29,-2EA3D
-46411,-464C1,-4635F
-2EA0C,-2E904,-2EAAE
-463F1,-46295,-463F4
-2E88A,-2E81D,-2EA96
-46414,-46441,-4650C
-2EB8E,-2E994,-2EA58
-46587,-465BE,-466CD
-2EB5F,-2EBFA,-2EA7E
-463C9,-46506,-4656D
-2EA04,-2EB3A,-2EA42
-464C6,-46317,-463A1
