{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
13EB1F,13E9EB,13E8BE
156300,1563F1,15637B
13EA25,13E9CE,13EB0F
15629C,1564B7,1562F3
13E9CA,13E96F,13EA53
156664,156633,1566DC
13EB3B,13E815,13EAD8
1563B1,15642A,1565E6
13E9C5,13EB00,13E91B
156338,15629C,1565DE
13EA85,13EA83,13E871
156456,156391,1565F1
13E95D,13E84D,13E9E7
1565A4,156358,1562EF
13EA2D,13EB6F,13EB0D
156384,156392,1563D0
13E9E7,13EAA3,13E829
15637F,156443,156602
13E8BC,13EA21,13E98B
15644E,156219,1565BD
13EAF0,13EC09,13E89E
15641D,156315,1564E0
13EB22,13EB4B,13EA77
1564E2,15632A,156675
13EBA3,13EC99,13EA08
1564C5,1564DB,1565A3
13EB8A,13EBFB,13EC9A
156565,156642,1564FD
13EC71,13EBBA,13E912
156422,1567AC,15675D
13EA65,13EAFB,13E92A
15668A,1564BF,156494
13EAED,13ECBC,13E9DF
15650D,15641F,156515
13EBC6,13EA6D,13EA7B
156509,156696,1564A7
13EC63,13E86B,13E9AA
1565CD,1568AA,156870
13E80B,13EA65,13E816
156678,1565D2,15674B
13EA93,13E94D,13EC69
156413,15654E,15649B
13EDA5,13EC4F,13EC2B
1564E3,1564C9,1564E2
13EBE5,13EA89,13EA47
1566DF,156547,156521
13EB59,13E8EE,13EACF
1562A2,15642D,156472
13EC13,13EB03,13EB19
156470,156465,15640A
13E96C,13E945,13E89D
1563C1,15634E,15639E
13EB62,13EA87,13E9AE
15516B,155156,154F6C
13E995,13E923,13E848
156155,156206,15624A
13E893,13E7B8,13E9D1
156230,156300,15637A
13E911,13EAB9,13E8AF
156294,1565AA,156310
13E663,13EA85,13E8EE
15632F,1563C0,156346
13E9F3,13EA26,13EA1C
156274,1564CD,15645E
13EB37,13E93A,13EB69
15643A,15644B,15642D
13EACA,13E902,13E87D
1563A1,156317,156341
13EB39,13EAC5,13E911
156670,156461,1564FF
13EA00,13ECD0,13EB43
156598,15635A,156334
13E9A1,13E9AF,13E910
156372,1564C3,1564C6
13E94D,13EAFE,13EB1B
15655B,1565F9,1563C6
