{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1366DD,136796,136743
11EBC1,11ED46,11EE82
136764,1365EF,1366B0
11EB6D,11EC62,11EBC1
1366E5,13689C,1367A0
11EC60,11ED90,11EC44
1366E9,136659,136789
11EC14,11EC68,11EBD9
1367D8,1366A5,13669F
11ECBE,11ECC3,11EECF
1365DF,1367AF,1366D4
11ED42,11EC83,11EA42
1367C4,1367A9,136A20
11ECEE,11EC2B,11ED1B
136629,13661A,136646
11ECC3,11EC24,11EBF9
136704,136875,1366E8
11EE18,11EB76,11ED33
13696A,136778,1366CD
11EF98,11EEE7,11EF48
13679F,136719,1368ED
11ED6F,11ECC3,11EB5C
13664F,136739,136695
11EC5C,11EDE7,11ED8B
136786,136840,136740
11EE0B,11EC79,11EBC7
1367A0,136855,1368D9
11EE42,11EDC6,11EE5E
1367D8,136782,136968
11EDA8,11EE44,11EE89
13690A,13688A,1368F5
11ECBD,11EF1B,11EFB2
136984,1367CF,13688B
11EFF4,11EEB2,11EF68
1368DB,13698C,13687A
11EECF,11EE3F,11EEE2
1368BF,136A97,136B8E
11EE1B,11EE34,11EECC
136849,136771,1369F9
11EDAC,11EFFF,11EEEA
1367E6,136979,136884
11EEFF,11EFC6,11ECDA
1367EB,136708,136768
11EDF5,11ECCF,11EE37
1367B9,136A0C,1368B5
11EEE6,11EF22,11ED1F
13688C,13693B,13681A
11EF22,11EDF6,11EE9D
136761,136762,1368A7
11EE02,11ECDE,11EE06
136717,1369FE,1368DA
11EEE1,11EF1A,11EE56
136A0A,13695C,1368AF
11F048,11EF38,11EE91
13693B,136B7E,13676A
11EE0D,11EFAE,11ED9E
136875,136870,136AF2
11EE59,11EE96,11EEBE
136992,13692E,1368F5
11EEDE,11EE53,11F001
136ACA,1368DE,1368DB
11EECF,11F021,11EF30
136740,13692B,1369B0
11F115,11EDF9,11EE82
136A26,136A6B,136A2A
11F081,11EFFF,11EF54
136AA7,136A38,13691C
11F066,11F01B,11EE20
136AAF,136B75,136AB4
11EFCA,11F0A0,11F0D6
136AE9,136B7D,136B10
11EEFC,11EF6E,11F036
136A45,1369DC,13697F
11EF4C,11EE2D,11EE8C
136A0B,13695C,13694F
11EF38,11F08E,11EDFC
136B1F,136B50,136B34
11F065,11EFBB,11EEF8
136A00,136A6A,136AF9
11F04D,11F067,11EFE8
136AC2,136ACC,13694F
11F101,11EFED,11F15E
136A5B,136A6A,136A92
11F091,11EF54,11F0B4
136AC2,136AE2,136952
11F02B,11EFAE,11F111
136B4E,136C28,1369E5
11F005,11F108,11F124
1369D4,1369E5,136AB8
11F107,11F078,11EF61
136B3B,136BD6,136B00
11F0A4,11F0F3,11EF25
136A8F,136A42,1369B5
11EFF6,11EFAF,11F116
1369AE,136BFC,136A78
11F004,11F0EC,11EF8A
136938,136A07,136A6B
11F06C,11F18A,11F053
136CBD,136C1F,136B37
11EFF1,11F228,11F1BF
136CDF,136C69,136C78
11F05A,11F196,11EFF9
136A90,136C5C,136BD9
11EFF2,11EFF3,11EF1E
136B60,136BFC,136A81
11F079,11F27D,11F198
136C06,136B74,136A5F
11F030,11EFEE,11F072
136B97,136B85,136CF0
11F2C8,11F117,11F228
136CD7,136BC2,136B7B
11F0CF,11F19C,11F1BC
136A94,136AE0,136C6D
11F145,11F1A2,11F2C8
136BCA,136C0F,136D55
11F073,11F135,11F1C7
13625E,135FA6,136282
11F85E,11F916,11F8DA
137243,137103,13714F
11F79E,11F557,11F875
13723E,13714C,1371CE
11F723,11F777,11F7C5
1370D8,1373F4,137252
11F8DD,11F80E,11F6BE
137309,1371D3,137289
11F8FC,11F8A2,11F8AF
1373BC,137296,137284
11F884,11F6C7,11F7BB
137218,1370DC,13720E
11F6C9,11F88D,11F809
1370FA,13724A,137343
11F7AC,11F92E,11F810
13731D,1374B4,1374F3
11F966,11F7AB,11F780
1371D4,136FA5,13719B
11F755,11F5EF,11F788
137261,137041,137238
11F8DE,11F5DF,11F600
13714D,1372F8,13730F
11F814,11F82F,11F9CC
137309,137207,13736B
11F858,11F919,11F70E
137145,137116,137466
11F813,11F9FD,11F814
137319,1372DB,13718A
