{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
22F20B,22F2DC,22F32C
2175A3,2176BC,2176F7
22F001,22F14D,22EEFE
217769,2177F5,2176E2
22F140,22EF42,22F0AE
217A02,21792B,217885
22F363,22F103,22F159
21795A,21780C,2177A3
22F281,22F283,22F4AC
217945,2177E9,21780F
22F0F9,22F2F5,22F2C1
217702,2178AA,2177A5
22F341,22F45E,22F1DF
217795,217870,21775C
22F1D1,22F1A9,22F04B
2175B4,217776,217852
22F154,22F1B9,22F110
217866,217687,2176E7
22F19F,22F26E,22F114
21776D,217664,2178E5
22F05A,22F104,22F19C
217764,2176A8,2178A8
22F287,22F0FA,22F368
21782D,217700,2176E8
22F164,22EF81,22F15B
2178C5,217778,21770D
22F10E,22F01A,22F284
2176BF,21767F,2177B3
22F085,22F0D5,22F0EE
2176B1,21770F,21777A
22F1B6,22F120,22F0D2
2177C8,21773A,21753F
22F0AB,22F02E,22F055
2175B5,217499,217643
22EFE7,22F153,22F1DB
217569,21775D,217590
22EC98,22EC8B,22EE2F
217BD5,217CC0,217A1D
22F59F,22F482,22F4C7
217A07,217A0C,217AE9
22F398,22F44A,22F4F6
217C5B,2179E6,217BCA
22F2DA,22F43F,22F628
217B1F,217996,217944
22F355,22F487,22F604
217A84,21787F,217941
22F43D,22F522,22F5D7
217B82,217937,217ADA
22F2F2,22F65B,22F573
2179E3,2179DF,217956
22F5EA,22F3C6,22F3AF
217B9E,217991,217872
22F32B,22F546,22F49B
217ADA,217931,217BCB
22F4D2,22F59D,22F4DF
217913,217930,217A92
22F40D,22F5E5,22F3A9
217C42,217909,217997
22F298,22F447,22F352
21781D,217B4E,217965
22F417,22F438,22F383
217872,21778A,217867
22F49A,22F229,22F32C
21799F,217866,2179EB
