{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1543C9,154459,1542AE
16BEFF,16BF54,16BCFD
1541C5,1543CA,154333
16BE93,16BE05,16BE6B
154467,154479,154415
16BE76,16BE35,16BE3E
1543BF,15452D,154430
16BDD2,16BEAB,16BDA3
15433F,154435,154483
16BC81,16BDF1,16BC01
154446,1542EE,154349
16BCFE,16BD85,16BE4D
154586,1546A1,1541CE
16BF96,16BEE3,16BD29
154368,1543A6,1544EE
16BEB2,16BFA1,16BF85
1545FF,154558,154529
16BEF6,16BE37,16BFC3
1544D2,1545A6,1543D8
16BE95,16BE65,16BF2E
154612,154519,1545C2
16BE08,16C077,16BEAF
1544FA,1544B3,154482
16BFE6,16BEC1,16C24C
154373,15457D,154534
16BF21,16C0A4,16C06F
1545DB,154504,154385
16BFDC,16C136,16C11B
1546B9,154756,154541
16C001,16C0A6,16C0B6
154484,154601,154536
16C082,16C00D,16BF47
15458D,15461B,15453B
16C0C7,16BF93,16C080
154789,1546EB,1545E1
16BEE2,16C146,16C266
15478F,1547BD,154499
