{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-10D0E8,-10D088,-10D0E2
-F5821,-F5656,-F56BD
-10D15A,-10D316,-10D043
-F57BA,-F5500,-F582B
-10D1FF,-10D22A,-10D045
-F54C3,-F55E6,-F56C3
-10D0BD,-10D28A,-10D0D9
-F55D4,-F5818,-F55D9
-10D0B3,-10CF7E,-10D28A
-F568E,-F56B5,-F570A
-10D068,-10D159,-10D25D
-F56BA,-F56B1,-F576A
-10CF5C,-10D098,-10D1B0
-F56BE,-F55DC,-F5773
-10D156,-10D110,-10D19C
-F5812,-F5928,-F57A4
-10D14F,-10D1EB,-10D16F
-F5782,-F5901,-F558E
-10D181,-10D0BE,-10D107
-F587A,-F56A1,-F5686
-10D144,-10D2FF,-10D2A5
-F57DB,-F567E,-F56CD
-10D383,-10D37F,-10D56A
-F5947,-F58D7,-F5948
-10D2DB,-10D2A2,-10D4A2
-F5A0E,-F58F8,-F5A17
-10D3E6,-10D413,-10D3F7
-F5A6F,-F57BD,-F5953
-10D3DA,-10D5A5,-10D465
-F5A59,-F5A91,-F5841
-10D3FC,-10D55F,-10D367
-F5A55,-F595B,-F582E
-10D198,-10D379,-10D4C4
-F5991,-F5936,-F5B5B
-10D5F4,-10D663,-10D514
-F5B24,-F5CD3,-F593C
-10D52F,-10D5DB,-10D6A3
-F5B80,-F5B19,-F5C2C
-10D656,-10D496,-10D390
-F5C29,-F5AC1,-F5970
-10D5D8,-10D30E,-10D3A8
-F5BAF,-F5A2F,-F5A4A
