{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1E7CC3,-1E7CCB,-1E7C8A
-1FF8FD,-1FF77D,-1FF9BE
-1E7E05,-1E7E41,-1E7CE8
-1FFB54,-1FF78F,-1FF9D2
-1E83DE,-1E81AE,-1E8442
-1FFFA0,-1FFED6,-1FFC70
-1E841C,-1E84E2,-1E837D
-1FFDD5,-1FFF12,-1FFF98
-1E84F3,-1E8234,-1E84D8
-1FFCF3,-1FFDE7,-1FFDE2
-1E84C3,-1E843F,-1E8599
-1FFD48,-1FFF1C,-1FFFA1
-1E8463,-1E8425,-1E8452
-1FFF3F,-1FFF07,-1FFD69
-1E8580,-1E821D,-1E85CD
-1FFF26,-1FFD47,-1FFEB5
-1E83D7,-1E83DB,-1E85E3
-1FFD8C,-1FFDF0,-1FFE55
-1E8569,-1E83C0,-1E835F
-1FFD5D,-1FFBE6,-1FFEDD
-1E82B0,-1E81A8,-1E837D
-1FFF19,-1FFF51,-200024
-1E853D,-1E8377,-1E8478
-1FFE08,-1FFE98,-20003C
-1E8567,-1E8511,-1E8495
-1FFFD1,-1FFFA1,-2000A4
-1E83FC,-1E85DF,-1E83A9
-1FFD9E,-1FFE99,-1FFDDB
-1E8279,-1E8460,-1E8564
-1FFDA5,-1FFE8F,-1FFE65
-1E857F,-1E8361,-1E844A
-1FFE15,-1FFFB7,-1FFF6A
-1E8451,-1E83C9,-1E85F3
-1FFFDA,-200009,-1FFDE6
-1E832B,-1E858E,-1E8627
-1FFE58,-2000B9,-200018
-1E848C,-1E8686,-1E85A4
-2000BC,-1FFD95,-1FFEA0
-1E855F,-1E8373,-1E8519
-20007B,-1FFF6E,-1FFF31
-1E8677,-1E840B,-1E849B
-1FFFF6,-2000E6,-1FFF25
-1E84AF,-1E8607,-1E85EF
-1FFFE9,-1FFFBA,-20006D
-1E85BE,-1E84DA,-1E84F9
-1FFE99,-1FFE83,-1FFDD9
-1E85F0,-1E844F,-1E868B
-1FFF26,-1FFE59,-2000A0
-1E841D,-1E8465,-1E8550
-1FFF5C,-1FFF80,-1FFE54
-1E842D,-1E8696,-1E840C
-1FFF79,-1FFFEE,-1FFDAF
-1E842D,-1E856A,-1E84FC
-1FFDEF,-200217,-1FFF14
-1E85BF,-1E85D1,-1E86C1
-1FFF9D,-200163,-1FFF73
-1E84B9,-1E8438,-1E8674
-1FFF23,-1FFEFC,-200008
-1E858D,-1E859A,-1E8642
-1FFFF5,-200080,-2000D4
-1E843B,-1E869D,-1E8722
-1FFF32,-200035,-1FFE5E
-1E86C7,-1E84A6,-1E865A
-1FFFDF,-20002B,-1FFF4E
-1E8479,-1E8452,-1E8600
-200000,-1FFEC6,-1FFF7F
-1E849D,-1E850C,-1E844F
-200038,-1FFF53,-1FFF52
-1E87D0,-1E8480,-1E8635
-20002A,-1FFF0A,-1FFFB6
-1E86B0,-1E84F8,-1E8757
-20008C,-200073,-200192
-1E873F,-1E8648,-1E8675
-200034,-2000A6,-1FFF1C
-1E870D,-1E86A9,-1E8862
-2001D7,-200242,-20011E
-1E85E9,-1E8766,-1E86EF
-20016F,-2000B3,-200099
-1E8849,-1E86E7,-1E88D8
-20006E,-200268,-20022E
-1E87D4,-1E8803,-1E85B7
-200232,-1FFF86,-20012F
-1E847C,-1E8750,-1E866D
-200081,-20046F,-2002CA
-1E876B,-1E84CC,-1E869C
-200128,-2000AC,-20011F
-1E875F,-1E86B8,-1E8945
-200177,-20034C,-200226
-1E886D,-1E87C2,-1E8732
-200088,-20011A,-20022D
-1E8911,-1E879C,-1E88E2
-200151,-200296,-200190
-1E8672,-1E863F,-1E86CA
-200064,-2000B0,-20011B
-1E8744,-1E871F,-1E87F6
-2000B3,-2002C5,-2000F4
-1E887B,-1E87F8,-1E884E
-200139,-2002B4,-200388
-1E8754,-1E882D,-1E86EB
-200097,-200252,-200286
-1E876F,-1E87F4,-1E8799
-200260,-200259,-20025A
-1E873C,-1E8906,-1E8844
-2001DE,-20016D,-20028C
-1E87EF,-1E881A,-1E8681
-200370,-200215,-20023A
-1E8775,-1E87BC,-1E87EE
-2001C1,-1FFFE4,-200296
-1E8866,-1E8803,-1E86FB
-2000A8,-200156,-2000C7
-1E86E4,-1E8752,-1E85F4
-200154,-2001AA,-20026B
-1E8557,-1E85AF,-1E866F
-200245,-2001B6,-2000D6
-1E86BD,-1E86E2,-1E85FE
