{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
322F6,322DF,32260
1A6AA,1A6F2,1A632
322B5,3223F,3214D
1A9B2,1A7CB,1A78C
321A5,322C0,320FE
1AA00,1A7B3,1A88A
31FA1,3205C,3216D
1A5D4,1A5EF,1A567
31EBC,31FE1,31E0D
1A544,1A51B,1A544
3217A,32224,321D4
1A5EA,1A6A3,1A6AB
321E6,3214D,3209F
1A82C,1A637,1A6A6
320F0,321DC,3216A
1A726,1A90E,1A818
32263,32318,3220F
1A74C,1A726,1A72D
321AE,31F2F,321BB
1A645,1A6A3,1A6C9
320B3,321C8,3209F
1A5C5,1A7C4,1A7E6
32248,32192,320C8
1A61B,1A536,1A6FC
31F51,31F88,32067
1A4FD,1A660,1A626
320A0,31F10,32026
1A652,1A4BA,1A3F5
31FC3,321D6,320D9
1A564,1A533,1A6FF
321B1,3235D,324B4
1A6D8,1A739,1A594
32183,321FE,32147
1A592,1A76C,1A7E5
32316,3215B,32357
1A7AA,1A9A3,1A74D
3226B,3213E,32139
1A68B,1A715,1A6A6
3249C,3268A,32618
1A9CA,1A896,1A9A3
324D4,3240C,323C1
1A902,1A95E,1AB24
32499,32568,325D7
1A925,1A9BB,1A9D0
3250E,32297,324E7
1A920,1AAFC,1A841
324C3,3260F,323EE
1AB05,1A915,1A991
32431,3259B,322D5
1A996,1A991,1A88C
32439,32341,3249F
1A7ED,1A824,1A9A6
3227F,323F3,324A9
1A920,1A838,1AA0F
325D4,3230C,32681
1AA01,1A933,1AAAA
32564,3265A,324C5
1AA1D,1A9B0,1A891
32589,32522,325AF
1A955,1A9FE,1AAA4
32551,3250E,32411
1A8E2,1AA81,1ABEB
3246B,3259F,325E0
1ABCE,1A9FE,1AA70
325CA,32705,324A0
1AB76,1AAA5,1AAC5
324B9,325D2,325CE
1AA67,1AB4A,1AA69
3247E,324B6,325F8
1AA42,1A9D7,1AA4D
3230E,32518,32519
1A930,1A919,1AA02
322F6,322BF,3220F
1A93C,1A9DC,1A970
324DF,324D7,32494
1AA35,1AABD,1A8BA
3228C,32406,322C5
1A968,1A985,1AB37
32421,3234F,3240D
1AAA6,1AA09,1AA72
32410,324B1,32564
1A9B5,1AA6D,1A9BA
32391,32428,32322
1A9A8,1AC90,1AAC6
323A1,32471,32421
1A95B,1ADA0,1A94E
3262F,324C7,325C1
1A9B9,1A8C5,1AA38
32476,3231A,321E2
1AA12,1A99D,1AA69
3253D,32533,32305
1A948,1A913,1AA5B
32509,3276B,32551
1A973,1AA6C,1AA5B
324C5,32497,3246B
1AA06,1A9DA,1AA43
32713,32362,3229D
1A92B,1A98B,1A939
32507,325BD,32508
1ABD3,1AA6B,1A75A
3244D,3249C,324B9
1ADE4,1AAC7,1AA21
31D7A,31D29,31C11
1AE08,1AE91,1AF15
32736,327AA,327DE
1AE8E,1ACE1,1AF96
3279B,3276D,32A9C
1B081,1AE8C,1B04D
32A24,3288B,32822
1AFEB,1AF1C,1B020
32A6E,32A57,32A5C
1B0A0,1AF6F,1AD20
328E0,3298D,328C6
1AEF3,1AFE6,1AEB7
329DC,328C9,328CA
1AE23,1B094,1B04A
329AD,329B6,32A3B
1AF59,1AF1C,1AEDE
32A15,32B28,329F9
1B050,1AF31,1ADD2
327EE,32830,3291B
1AF94,1AEB2,1ADC8
32820,3287A,328D0
1AD0D,1AF0C,1ADB8
328EB,329EB,328BB
1AFB1,1AD5B,1AEB2
3292A,32B94,3284C
1AFDD,1B038,1ACF8
329FF,32BD7,329A1
1AF56,1AED2,1AEED
328FF,32943,32898
1AEF6,1AF71,1B106
329F7,32961,32810
1AF7A,1AFF6,1AFD4
328AD,328D0,32BDA
1AF02,1ACB0,1B146
32828,3294D,328C6
1AF75,1AFCB,1AFE2
32A79,329E0,32952
1AF0C,1ACE1,1AF9D
32AA2,329D9,328A7
1AFFF,1B144,1ADC0
329F2,3288F,32785
1AD96,1ADB0,1AF7F
329E7,32916,32A75
1AE17,1AEB4,1AEB6
327F1,32A31,32AD1
1B0C3,1AF2A,1AFFC
329DD,32AE4,32923
1AF9E,1AF99,1B0B0
329F0,32A67,32833
1AEFE,1ADA7,1B027
32A7E,328C9,32A43
1AE63,1AF3C,1AF4B
329AF,329E8,32A34
1B010,1AF70,1AFFE
32A8B,32987,32A44
1AF7F,1ADF0,1ADE4
329DA,327BB,32A2F
1AE83,1ADE6,1AE3C
32893,32A79,32B70
1AF17,1AEBF,1AFA9
32A82,32A7D,32C15
1AFB4,1AFE7,1AF8D
329D6,32A79,32890
1AF34,1B07F,1AFCF
32CBC,32DE3,32EAA
1B17F,1B1D2,1B42E
32CDA,32E5C,32D4E
1B1C4,1B1B9,1B28A
32CA9,32BA2,32C83
1B284,1B337,1B2C3
32B32,32C01,32B88
1B34C,1B2D2,1B0FF
32C38,32DB6,32D38
1B15F,1B245,1B30E
32C7A,32D45,32C4A
1B439,1B15F,1B171
32D7E,32CB6,32DE4
1B178,1B079,1B253
32C38,32E7F,32CED
1B28F,1B216,1B2DD
32F26,32EA4,32E44
1B30A,1B2F7,1B179
32CBA,32BBA,32B3A
1B388,1B081,1B17E
32C35,32BFF,32BAF
1B20F,1B279,1B17E
32C3F,32E11,32BEC
1B19E,1B182,1B017
32D24,32C25,32D77
1B349,1B1E5,1B2DA
32B29,32CCA,32F03
1B3F6,1B217,1B19D
32B85,32F36,32D33
1B289,1B392,1B3E2
32CB4,32E8F,32E2B
1B339,1B20F,1B2FB
32D64,32A65,32B75
1B1BE,1B0AF,1B22B
32BD7,32C7A,32BA1
1B232,1B1E2,1B08A
32AAB,329D0,32A2A
1B1AC,1AF57,1B1FF
32C01,32A98,32C29
1B28D,1B2B8,1B0BD
32C5F,32D3E,32DED
1B22A,1B177,1B0E6
32C76,32B58,32B5D
1AFDF,1AFAD,1B2E5
32B6C,32DBD,32D58
1B210,1B3AB,1B31B
32D2D,32D0A,32BDB
1B1E2,1B152,1B14C
32C8B,32B75,32CC8
1B2F3,1B09A,1B30D
32B66,32AB3,32BA3
1B2B3,1B3C4,1B1A1
32BE9,32AC2,32B86
1B2A5,1B1A0,1B111
32C35,32B93,32CA2
1B0F2,1B182,1B0BD
32BFA,32CE1,32D16
1B329,1B07F,1B2B5
32D19,32C20,32C81
1B24F,1B183,1B0E0
