{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
146A50,146BA9,146E17
12F187,12EEB9,12F136
146AE3,146B42,1469C8
12F13D,12F1E2,12F10E
146B36,146AE4,146B2A
12F0C8,12F231,12EFD6
146C4E,146BE4,146AFE
12F1FF,12F28D,12F0BF
146BA8,146AAC,146ABA
12F11D,12F166,12EFA5
146AFC,146B98,146B93
12F0B7,12F1D1,12F081
146BA6,146AF7,146C22
12F1E0,12F1AE,12F1C6
146AA2,146C11,146C61
12F10D,12F23A,12F15F
146AA4,146E95,146A49
12F20F,12F2ED,12F120
146AF4,146B78,146BBC
12F0A9,12EFF6,12F18A
146C32,146B40,146C8B
12F0E4,12F20C,12F023
146CE3,146D7B,146F00
12F1DC,12F1DE,12F33B
146DB5,146D8B,146C3F
12EFB9,12F04F,12F215
146BD4,146C5D,146DF8
12F1DB,12F19F,12F2E6
146B27,146BE6,146AA7
12F105,12F033,12F273
146ACC,146D54,146B0F
12F001,12F322,12F1BB
146C83,146BCC,146D57
12F2F3,12F1E7,12F331
146D35,146E15,146CB7
12F3D0,12F24F,12F1F4
146C82,146CD7,146C84
12F2F0,12F345,12F397
146D04,146BF8,146E10
12F1FD,12F43A,12F26A
146CE3,146CE2,146F0D
12F2F2,12F427,12F314
146D06,146D84,146D95
12F249,12F1C7,12F255
146CCE,146DA8,146C12
12F3B9,12F32D,12F417
146EE9,146EC6,146D2B
12F35C,12F415,12F503
146D49,146F6A,146CFA
12F3D0,12F0B5,12F2AE
146D93,146E52,146DA0
12F316,12F2A1,12F357
146CCD,146C89,146B41
12F23A,12F1D2,12F2E1
146DCA,146CD6,146EA9
12F30D,12F30E,12F4F2
146DC9,146D2A,146EAF
12F3C4,12F308,12F160
146D81,146D92,146D95
12F376,12F1D7,12F24B
146B35,146D88,146CC1
12F28B,12F27E,12F2A5
146C94,146B79,146CDD
12F429,12F1FA,12F209
146D12,146C1B,146C83
12F165,12F3DF,12F3BD
146CF5,146AE2,146D97
12F361,12F1BA,12F39E
146C2F,146BDA,146D81
12F161,12F20F,12F12D
145F59,1461ED,145F67
12F877,12FAC7,12FA49
1471CE,147125,147393
12F845,12F9CF,12F80B
1472D8,147466,1473C6
12F9F0,12F79E,12FAD2
1472AD,147201,1473E5
12F833,12F7C6,12F8D9
1473A9,1471F8,147440
12FB54,12FB8A,12F7E2
1473CD,147496,1475E0
12F958,12FB10,12FB6F
1474B7,1472F2,1471E9
12F894,12F9C5,12F871
1473DA,1475A8,1473ED
12F978,12F95E,12FA5B
147443,14746A,1474CD
12F8D8,12FA02,12F959
1472D7,147365,1473F4
12F949,12F7D9,12FAA3
1473DF,1470C2,1473D0
12F86E,12FA66,12F7EC
14736A,14746A,147458
